serial,name,value,notes
16-50110,CC_a0,0.001290022,
16-50110,CC_a1,0.0002672712,
16-50110,CC_a2,-6.133168e-07,
16-50110,CC_a3,1.588086e-07,
16-50110,CC_cpcor,-9.57e-08,
16-50110,CC_ctcor,3.25e-06,
16-50110,CC_g,-0.9748967,
16-50110,CC_h,0.149154,
16-50110,CC_i,-0.0001199427,
16-50110,CC_j,3.14472e-05,
16-50110,CC_pa0,-2.634339,
16-50110,CC_pa1,0.001725019,
16-50110,CC_pa2,8.311135e-11,
16-50110,CC_ptca0,521059.7,
16-50110,CC_ptca1,-69.74867,
16-50110,CC_ptca2,0.1040893,
16-50110,CC_ptcb0,24.80888,
16-50110,CC_ptcb1,-0.000225,
16-50110,CC_ptcb2,0,
16-50110,CC_ptempa0,164.5857,
16-50110,CC_ptempa1,-64.11637,
16-50110,CC_ptempa2,-2.787496,
